id,order_id,bank_id,device_type,device_name,emei,latitude,longitude,os_version,ip_address,created_date,sdk_version,bank_identity,bank_identity_hash
14,14,6,WEB,WEB Device,EMEI123456,21.0285,105.8542,17.0,192.168.1.21,2025-12-03 17:33:29.000000,v3.0,user14,daf7996f88742675acb3d0f85a8069d0
15,15,5,IOS,IOS Device,EMEI123456,21.0285,105.8542,16.0,192.168.1.248,2025-11-12 17:33:29.000000,v2.0,user15,2b8b66f64b605318593982b059a08dae
16,16,1,IOS,IOS Device,EMEI123456,21.0285,105.8542,15.0,192.168.1.77,2025-11-13 17:33:29.000000,v5.3,user16,4de4153595c0977d2389d0880547bd3a
17,17,2,WEB,WEB Device,EMEI123456,21.0285,105.8542,13.0,192.168.1.142,2025-12-01 17:33:29.000000,v5.2,user17,2a60ff641c890283b1d070f827cf9c0c
18,18,1,ANDROID,ANDROID Device,EMEI123456,21.0285,105.8542,14.0,192.168.1.77,2025-11-27 17:33:29.000000,v1.0,user18,ebc835d1b43e63d1ba35af810da3a23e
19,19,8,WEB,WEB Device,EMEI123456,21.0285,105.8542,17.0,192.168.1.251,2025-11-18 17:33:29.000000,v2.1,user19,0b6ecb3aa9b23589fb9e314b46c832d9
20,20,4,ANDROID,ANDROID Device,EMEI123456,21.0285,105.8542,17.0,192.168.1.154,2025-12-05 17:33:29.000000,v5.7,user20,7febe54e79096749ac43dc6c2e3e5d4d
21,21,4,ANDROID,ANDROID Device,EMEI123456,21.0285,105.8542,13.0,192.168.1.182,2025-12-09 17:33:29.000000,v1.6,user21,8fab3a60577befd765cde83f2737cd1a
22,22,6,ANDROID,ANDROID Device,EMEI123456,21.0285,105.8542,14.0,192.168.1.20,2025-11-28 17:33:29.000000,v2.7,user22,b999205cdacd2c4516598d99b420d297
23,23,4,IOS,IOS Device,EMEI123456,21.0285,105.8542,15.0,192.168.1.207,2025-12-11 17:33:29.000000,v3.1,user23,2a0fff6e36fbc6a21f7b065f24a3ffb4
24,24,4,WEB,WEB Device,EMEI123456,21.0285,105.8542,16.0,192.168.1.158,2025-11-23 17:33:29.000000,v4.9,user24,65303a0ec5984ab62d102031a5c9be89
25,25,7,WEB,WEB Device,EMEI123456,21.0285,105.8542,15.0,192.168.1.21,2025-11-29 17:33:29.000000,v2.6,user25,dab53605c85e2eff2f2192e08b772cbc
26,26,7,WEB,WEB Device,EMEI123456,21.0285,105.8542,16.0,192.168.1.57,2025-11-23 17:33:29.000000,v1.5,user26,6356b9f65e6e775b3feb7996bd3e1ba3
27,27,4,WEB,WEB Device,EMEI123456,21.0285,105.8542,11.0,192.168.1.50,2025-12-05 17:33:29.000000,v5.0,user27,590b1a8287729e75223a77d4f64fb13d
28,28,3,ANDROID,ANDROID Device,EMEI123456,21.0285,105.8542,17.0,192.168.1.112,2025-12-07 17:33:29.000000,v1.7,user28,fdc86230e908634cb03015f1a016ffa1
29,29,6,IOS,IOS Device,EMEI123456,21.0285,105.8542,17.0,192.168.1.138,2025-12-10 17:33:29.000000,v4.9,user29,df3c4035da126a48f484133358bedf23
30,30,6,ANDROID,ANDROID Device,EMEI123456,21.0285,105.8542,11.0,192.168.1.163,2025-11-28 17:33:29.000000,v4.9,user30,601fbd496628a2a8ad6186af757273b1
31,31,3,IOS,IOS Device,EMEI123456,21.0285,105.8542,12.0,192.168.1.15,2025-11-13 17:33:29.000000,v1.1,user31,4ccb2f3b57e6de1caea8475b13fb5c96
32,32,8,IOS,IOS Device,EMEI123456,21.0285,105.8542,11.0,192.168.1.2,2025-11-17 17:33:29.000000,v5.7,user32,54a2979a455bec056285887a8137d1bf
33,33,8,ANDROID,ANDROID Device,EMEI123456,21.0285,105.8542,10.0,192.168.1.104,2025-11-14 17:33:29.000000,v2.4,user33,f81e0105e6dcdf3f2e2041d119d1c87b
34,34,3,IOS,IOS Device,EMEI123456,21.0285,105.8542,13.0,192.168.1.196,2025-12-10 17:33:29.000000,v2.7,user34,4d4ec9499ab2bce1c5c8a565004ac27d
35,35,4,IOS,IOS Device,EMEI123456,21.0285,105.8542,14.0,192.168.1.24,2025-11-23 17:33:29.000000,v3.2,user35,3dd5329b7396fda1de5878a24ab7ca98
36,36,5,ANDROID,ANDROID Device,EMEI123456,21.0285,105.8542,14.0,192.168.1.111,2025-11-20 17:33:29.000000,v2.1,user36,06f01542cd526fcfd7624cf9fca3e0e3
37,37,2,ANDROID,ANDROID Device,EMEI123456,21.0285,105.8542,13.0,192.168.1.127,2025-12-01 17:33:29.000000,v5.9,user37,9c10f9996d42387555f8008224c0b8ff
38,38,5,IOS,IOS Device,EMEI123456,21.0285,105.8542,17.0,192.168.1.184,2025-11-18 17:33:29.000000,v2.8,user38,85a20bcfad4e8153d5fd624c87ed0ae6
39,39,3,IOS,IOS Device,EMEI123456,21.0285,105.8542,11.0,192.168.1.108,2025-11-21 17:33:29.000000,v2.2,user39,dd69a400ddf28026fe94595eafadd0d1
40,40,1,ANDROID,ANDROID Device,EMEI123456,21.0285,105.8542,16.0,192.168.1.23,2025-11-25 17:33:29.000000,v4.3,user40,39a6bd68eee930e937ba05904fd43794
