id,order_id,order_refund_id,original_id,type,content,status,server_response_data,created_date,modified_date,modified_by,created_by,created_by_hash,receiver,receiver_hash
14,14,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-12-04 17:33:29.000000,2025-12-06 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,0901234014,d49b2bc0d0ccd84796bdf2a672fd2c88
15,15,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-22 17:33:29.000000,2025-12-11 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,0901234015,883c7719b831d969b62d69d4cb8b9c02
16,16,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-12-12 17:33:29.000000,2025-12-08 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,0901234016,749be08fd4506cd705ac981ec8469878
17,17,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-15 17:33:29.000000,2025-12-05 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,0901234017,707d3e61e8762d37a25f0e3dbe111a09
18,18,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-24 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,0901234018,10895901696571a3169bbe650f96ff4f
19,19,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-12-03 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,0901234019,ec04f696c4b69a54043d1fd05e26ad2c
20,20,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-19 17:33:29.000000,2025-12-06 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,0901234020,41fa23defbf4ae47d292c2abc2689a27
21,21,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-15 17:33:29.000000,2025-12-06 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,0901234021,04321e55c5edd9326cc0212fc22fdfd0
22,22,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-12-09 17:33:29.000000,2025-12-07 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,0901234022,57c8f6a1ebb793873568c5b687bc0d5c
23,23,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-12-07 17:33:29.000000,2025-12-05 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,0901234023,3d225568ec69fe6236f99b88db31ebf0
24,24,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-28 17:33:29.000000,2025-12-11 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,0901234024,741b448b3a9be0be7f9a3700bb8d7b30
25,25,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-12-03 17:33:29.000000,2025-12-06 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,0901234025,a74b6e666571460813a7efe615586ab6
26,26,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-12-09 17:33:29.000000,2025-12-05 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,0901234026,53a297d63649e6150a586fb340912ade
27,27,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-22 17:33:29.000000,2025-12-11 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,0901234027,860b3a6b675a30544122f31be675d4a7
28,28,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-29 17:33:29.000000,2025-12-08 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,0901234028,a4c41afe31b690c5e70d3f7b5eab900c
29,29,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-30 17:33:29.000000,2025-12-10 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,0901234029,0fe7b093146cd01d08f1015a3cd1269f
30,30,,,CONFIRMATION,Đặt vé thành công,SUCCESS,"{""status"":""sent""}",2025-11-14 17:33:29.000000,2025-12-08 17:33:29.000000,system,system,bbc5e661e106c6dcd8dc6dd186454c2f,0901234030,a7c1b13b000b6e76b61bf171c790342a
